timestamp, memory.used [MiB]
2025/12/11 18:11:51.545, 1 MiB
2025/12/11 18:11:52.545, 1 MiB
2025/12/11 18:11:53.545, 4 MiB
2025/12/11 18:11:54.545, 4 MiB
2025/12/11 18:11:55.545, 4 MiB
2025/12/11 18:11:56.545, 4 MiB
2025/12/11 18:11:57.545, 4 MiB
2025/12/11 18:11:58.546, 4 MiB
2025/12/11 18:11:59.546, 528 MiB
2025/12/11 18:12:00.546, 1377 MiB
2025/12/11 18:12:01.546, 2651 MiB
2025/12/11 18:12:02.546, 2651 MiB
2025/12/11 18:12:03.546, 2651 MiB
2025/12/11 18:12:04.546, 2651 MiB
2025/12/11 18:12:05.547, 2651 MiB
2025/12/11 18:12:06.547, 2651 MiB
2025/12/11 18:12:07.547, 2651 MiB
2025/12/11 18:12:08.547, 2651 MiB
2025/12/11 18:12:09.547, 2651 MiB
2025/12/11 18:12:10.547, 2651 MiB
2025/12/11 18:12:11.547, 2651 MiB
2025/12/11 18:12:12.547, 2651 MiB
2025/12/11 18:12:13.548, 2651 MiB
2025/12/11 18:12:14.548, 2651 MiB
2025/12/11 18:12:15.548, 2651 MiB
2025/12/11 18:12:16.548, 2651 MiB
2025/12/11 18:12:17.548, 2651 MiB
2025/12/11 18:12:18.548, 2651 MiB
2025/12/11 18:12:19.548, 4927 MiB
2025/12/11 18:12:20.548, 3009 MiB
2025/12/11 18:12:21.549, 3163 MiB
2025/12/11 18:12:22.549, 3163 MiB
2025/12/11 18:12:23.549, 3163 MiB
2025/12/11 18:12:24.549, 3163 MiB
2025/12/11 18:12:25.549, 3163 MiB
2025/12/11 18:12:26.549, 3163 MiB
2025/12/11 18:12:27.549, 3163 MiB
2025/12/11 18:12:28.549, 3163 MiB
2025/12/11 18:12:29.550, 3163 MiB
2025/12/11 18:12:30.550, 3163 MiB
2025/12/11 18:12:31.550, 3163 MiB
2025/12/11 18:12:32.550, 3163 MiB
2025/12/11 18:12:33.550, 3163 MiB
2025/12/11 18:12:34.550, 3163 MiB
2025/12/11 18:12:35.550, 3163 MiB
2025/12/11 18:12:36.550, 3163 MiB
2025/12/11 18:12:37.551, 3163 MiB
2025/12/11 18:12:38.551, 3163 MiB
2025/12/11 18:12:39.551, 3163 MiB
2025/12/11 18:12:40.551, 4939 MiB
2025/12/11 18:12:41.551, 4939 MiB
2025/12/11 18:12:42.551, 4939 MiB
2025/12/11 18:12:43.552, 4939 MiB
2025/12/11 18:12:44.552, 4939 MiB
2025/12/11 18:12:45.552, 4939 MiB
2025/12/11 18:12:46.552, 4939 MiB
2025/12/11 18:12:47.552, 4939 MiB
2025/12/11 18:12:48.552, 4939 MiB
2025/12/11 18:12:49.552, 4939 MiB
2025/12/11 18:12:50.552, 4939 MiB
2025/12/11 18:12:51.553, 4939 MiB
2025/12/11 18:12:52.553, 4939 MiB
2025/12/11 18:12:53.553, 4939 MiB
2025/12/11 18:12:54.553, 4939 MiB
2025/12/11 18:12:55.553, 4939 MiB
2025/12/11 18:12:56.553, 4939 MiB
2025/12/11 18:12:57.553, 4939 MiB
2025/12/11 18:12:58.553, 4939 MiB
2025/12/11 18:12:59.554, 4939 MiB
2025/12/11 18:13:00.554, 4939 MiB
2025/12/11 18:13:01.554, 4939 MiB
2025/12/11 18:13:02.554, 4939 MiB
2025/12/11 18:13:03.554, 4939 MiB
2025/12/11 18:13:04.554, 4939 MiB
2025/12/11 18:13:05.554, 4939 MiB
2025/12/11 18:13:06.554, 4939 MiB
2025/12/11 18:13:07.555, 4939 MiB
2025/12/11 18:13:08.555, 4939 MiB
2025/12/11 18:13:09.555, 4939 MiB
2025/12/11 18:13:10.555, 4939 MiB
2025/12/11 18:13:11.555, 4939 MiB
2025/12/11 18:13:12.555, 4939 MiB
2025/12/11 18:13:13.555, 4939 MiB
2025/12/11 18:13:14.555, 4939 MiB
2025/12/11 18:13:15.556, 4939 MiB
2025/12/11 18:13:16.556, 4939 MiB
2025/12/11 18:13:17.556, 4939 MiB
2025/12/11 18:13:18.556, 4939 MiB
2025/12/11 18:13:19.556, 4939 MiB
2025/12/11 18:13:20.556, 4939 MiB
2025/12/11 18:13:21.556, 4939 MiB
2025/12/11 18:13:22.556, 4939 MiB
2025/12/11 18:13:23.557, 4939 MiB
2025/12/11 18:13:24.557, 4939 MiB
2025/12/11 18:13:25.557, 4939 MiB
2025/12/11 18:13:26.557, 4939 MiB
2025/12/11 18:13:27.557, 4939 MiB
2025/12/11 18:13:28.557, 4939 MiB
2025/12/11 18:13:29.557, 4939 MiB
2025/12/11 18:13:30.557, 4939 MiB
2025/12/11 18:13:31.558, 4939 MiB
2025/12/11 18:13:32.558, 4939 MiB
2025/12/11 18:13:33.558, 4939 MiB
2025/12/11 18:13:34.558, 4939 MiB
2025/12/11 18:13:35.558, 4939 MiB
