timestamp, memory.used [MiB]
2025/12/11 20:29:05.029, 1 MiB
2025/12/11 20:29:06.029, 1 MiB
2025/12/11 20:29:07.030, 4 MiB
2025/12/11 20:29:08.030, 4 MiB
2025/12/11 20:29:09.030, 4 MiB
2025/12/11 20:29:10.030, 480 MiB
2025/12/11 20:29:11.030, 480 MiB
2025/12/11 20:29:12.030, 480 MiB
2025/12/11 20:29:13.030, 978 MiB
2025/12/11 20:29:14.031, 982 MiB
2025/12/11 20:29:15.031, 1012 MiB
2025/12/11 20:29:16.031, 1012 MiB
2025/12/11 20:29:17.031, 1012 MiB
2025/12/11 20:29:18.031, 1012 MiB
2025/12/11 20:29:19.031, 1034 MiB
2025/12/11 20:29:20.031, 1032 MiB
2025/12/11 20:29:21.031, 1172 MiB
2025/12/11 20:29:22.032, 1258 MiB
2025/12/11 20:29:23.032, 1168 MiB
2025/12/11 20:29:24.032, 1204 MiB
2025/12/11 20:29:25.032, 1246 MiB
2025/12/11 20:29:26.032, 1286 MiB
2025/12/11 20:29:27.032, 1336 MiB
2025/12/11 20:29:28.032, 1490 MiB
2025/12/11 20:29:29.033, 1504 MiB
2025/12/11 20:29:30.033, 1430 MiB
2025/12/11 20:29:31.033, 1464 MiB
2025/12/11 20:29:32.033, 1490 MiB
2025/12/11 20:29:33.033, 1498 MiB
2025/12/11 20:29:34.033, 1548 MiB
2025/12/11 20:29:35.033, 1360 MiB
2025/12/11 20:29:36.033, 1548 MiB
2025/12/11 20:29:37.034, 1548 MiB
2025/12/11 20:29:38.034, 1548 MiB
2025/12/11 20:29:39.034, 1548 MiB
2025/12/11 20:29:40.034, 1550 MiB
2025/12/11 20:29:41.034, 1500 MiB
2025/12/11 20:29:42.034, 1556 MiB
2025/12/11 20:29:43.034, 1546 MiB
2025/12/11 20:29:44.035, 1660 MiB
2025/12/11 20:29:45.035, 1682 MiB
2025/12/11 20:29:46.035, 1754 MiB
2025/12/11 20:29:47.035, 1558 MiB
2025/12/11 20:29:48.035, 1562 MiB
2025/12/11 20:29:49.035, 1554 MiB
2025/12/11 20:29:50.035, 1534 MiB
2025/12/11 20:29:51.036, 1542 MiB
2025/12/11 20:29:52.036, 1634 MiB
